#Ariane 62 performance figures for MTOO. Reference: ""ARIANE 6 USERâ€™S MANUAL"", ISSUE 1, REVISION 0, MARCH 2018
Perigee (km);Apogee (km);Performance (kg)
2200;15390;5000
2500;14590;5000
3000;13320;5000
3500;12150;5000
4000;11060;5000
4500;10050;5000
5000;9130;5000
5500;8310;5000
6000;7560;5000
6500;6910;5000
6680;6690;5000
2200;9350;6000
2500;8760;6000
3000;7860;6000
3500;7050;6000
4000;6330;6000
4500;5710;6000
5000;5100;6000
2200;5670;7000
2500;5190;7000
3000;4510;7000
3500;3960;7000
3720;3760;7000
2200;3220;8000
2500;2890;8000

