#Ariane 64 performance figures for LEO. Reference: "ARIANE 6 USERâ€™S MANUAL", ISSUE 1, REVISION 0, MARCH 2018
Altitude (km);Inclination (deg);Performance (kg)
300;5;21650
300;10;21550
300;15;21400
300;20;21250
300;25;21050
300;30;20800
300;35;20550
300;40;20250
300;45;19900
300;50;19550
300;55;19200
300;60;18800
300;65;18400
300;70;17950
300;75;17500
300;80;17050
300;85;16600
400;5;21500
400;10;21400
400;15;21250
400;20;21100
400;25;20900
400;30;20650
400;35;20400
400;40;20100
400;45;19750
400;50;19400
400;55;19000
400;60;18650
400;65;18200
400;70;17800
400;75;17350
400;80;16900
400;85;16450
500;5;21300
500;10;21200
500;15;21100
500;20;20900
500;25;20700
500;30;20450
500;35;20200
500;40;19900
500;45;19550
500;50;19200
500;55;18850
500;60;18450
500;65;18050
500;70;17600
500;75;17150
500;80;16700
500;85;16250
600;5;21100
600;10;21000
600;15;20900
600;20;20700
600;25;20500
600;30;20300
600;35;20000
600;40;19700
600;45;19400
600;50;19050
600;55;18650
600;60;18250
600;65;17850
600;70;17450
600;75;17000
600;80;16550
600;85;16050
700;5;20850
700;10;20750
700;15;20650
700;20;20500
700;25;20300
700;30;20100
700;35;19800
700;40;19500
700;45;19200
700;50;18850
700;55;18450
700;60;18050
700;65;17650
700;70;17250
700;75;16800
700;80;16350
700;85;15900
800;5;20600
800;10;20550
800;15;20450
800;20;20300
800;25;20100
800;30;19850
800;35;19600
800;40;19300
800;45;19000
800;50;18650
800;55;18250
800;60;17850
800;65;17450
800;70;17050
800;75;16600
800;80;16150
800;85;15700
900;5;20350
900;10;20300
900;15;20200
900;20;20050
900;25;19850
900;30;19650
900;35;19400
900;40;19100
900;45;18750
900;50;18400
900;55;18050
900;60;17650
900;65;17250
900;70;16850
900;75;16400
900;80;16000
900;85;15550
1000;5;20150
1000;10;20100
1000;15;20000
1000;20;19850
1000;25;19650
1000;30;19400
1000;35;19150
1000;40;18850
1000;45;18550
1000;50;18200
1000;55;17850
1000;60;17450
1000;65;17050
1000;70;16650
1000;75;16250
1000;80;15800
1000;85;15350
1100;5;19950
1100;10;19850
1100;15;19750
1100;20;19600
1100;25;19400
1100;30;19200
1100;35;18950
1100;40;18650
1100;45;18350
1100;50;18000
1100;55;17650
1100;60;17250
1100;65;16850
1100;70;16450
1100;75;16050
1100;80;15600
1100;85;15200
1200;5;19700
1200;10;19600
1200;15;19500
1200;20;19350
1200;25;19200
1200;30;18950
1200;35;18700
1200;40;18400
1200;45;18100
1200;50;17750
1200;55;17400
1200;60;17000
1200;65;16650
1200;70;16250
1200;75;15850
1200;80;15450
1200;85;15050
1300;5;19450
1300;10;19400
1300;15;19300
1300;20;19150
1300;25;18950
1300;30;18700
1300;35;18450
1300;40;18200
1300;45;17900
1300;50;17550
1300;55;17200
1300;60;16850
1300;65;16450
1300;70;16050
1300;75;15650
1300;80;15250
1300;85;14850
1400;5;19200
1400;10;19150
1400;15;19050
1400;20;18900
1400;25;18700
1400;30;18500
1400;35;18250
1400;40;17950
1400;45;17650
1400;50;17300
1400;55;17000
1400;60;16600
1400;65;16250
1400;70;15850
1400;75;15450
1400;80;15050
1400;85;14650
1500;5;19000
1500;10;18950
1500;15;18800
1500;20;18650
1500;25;18500
1500;30;18250
1500;35;18000
1500;40;17750
1500;45;17450
1500;50;17100
1500;55;16750
1500;60;16400
1500;65;16050
1500;70;15650
1500;75;15250
1500;80;14850
1500;85;14400
500;97.4;14900
600;97.8;14700
700;98.2;14500
800;98.6;14300
900;99;14100
300;90;16100
400;90;15950
500;90;15750
600;90;15600
700;90;15450
800;90;15250
900;90;15100
1000;90;14950
1100;90;14800
1200;90;14600
1300;90;14450
1400;90;14300
1500;90;14100